hour,minute,online
0,0,19
0,10,20
0,20,18
0,30,16
0,40,18
0,50,19
1,0,18
1,10,18
1,20,19
1,30,17
1,40,17
1,50,18
2,0,18
2,10,18
2,20,18
2,30,18
2,40,16
2,50,14
3,0,14
3,10,14
3,20,14
3,30,14
3,40,13
3,50,13
4,0,13
4,10,13
4,20,13
4,30,13
4,40,13
4,50,13
5,0,13
5,10,13
5,20,13
5,30,13
5,40,13
5,50,13
6,0,13
6,10,13
6,20,13
6,30,13
6,40,13
6,50,13
7,0,13
7,10,13
7,20,13
7,29,13
7,40,14
7,50,15
8,0,15
8,10,14
8,20,15
8,30,15
8,40,16
8,50,18
9,0,19
9,10,19
9,20,19
9,30,20
9,40,20
9,49,19
10,0,21
10,10,21
10,20,22
10,30,22
10,40,20
10,50,20
11,0,19
11,10,20
11,20,20
11,30,20
11,40,18
11,50,20
12,0,19
12,10,20
12,20,20
12,30,20
12,40,19
12,50,18
13,0,18
13,10,18
13,20,19
13,30,20
13,40,19
13,50,18
14,0,19
14,10,17
14,20,17
14,30,16
14,40,18
14,50,18
15,0,18
15,10,19
15,20,20
15,30,19
15,40,21
15,50,23
16,0,22
16,10,22
16,20,22
16,40,0
16,50,6
17,0,1
17,10,6
17,20,8
17,30,9
17,40,10
17,50,13
18,0,13
18,10,14
18,19,17
18,30,19
18,40,20
18,50,19
19,0,20
19,10,21
19,20,25
19,30,27
19,40,31
19,50,31
20,0,34
20,10,35
20,20,29
20,30,29
20,40,27
20,50,29
21,0,27
21,10,28
21,20,28
21,30,27
21,40,28
21,50,27
22,0,26
22,10,26
22,20,26
22,30,28
22,40,26
22,50,28
23,0,27
23,10,31
23,20,33
23,30,33
23,40,31
23,50,32
