hour,minute,online
0,9,23
0,19,21
0,29,22
0,39,22
0,49,20
0,59,20
1,9,20
1,19,19
1,29,18
1,39,18
1,49,18
1,59,19
2,9,18
2,19,18
2,29,18
2,39,17
2,49,17
2,59,18
3,9,18
3,19,17
3,29,18
3,39,17
3,49,17
3,59,17
4,9,17
4,19,17
4,29,17
4,39,17
4,49,17
4,59,17
5,9,17
5,19,16
5,29,15
5,39,15
5,49,15
5,59,15
6,9,15
6,19,15
6,29,15
6,39,15
6,49,14
6,59,14
7,9,14
7,19,14
7,29,14
7,39,15
7,49,15
7,59,15
8,9,15
8,19,15
8,29,15
8,39,15
8,49,16
8,59,16
9,9,16
9,19,16
9,29,17
9,39,17
9,49,18
9,59,18
10,9,19
10,19,20
10,29,20
10,39,20
10,49,21
10,59,22
11,9,21
11,19,22
11,29,22
11,39,21
11,49,21
11,59,21
12,9,20
12,19,20
12,29,19
12,39,19
12,49,19
12,59,17
13,9,18
13,19,18
13,29,19
13,39,20
13,49,20
13,59,21
14,9,21
14,19,22
14,29,22
14,39,22
14,49,21
14,59,22
15,9,22
15,19,21
15,29,21
15,39,20
15,49,19
15,59,19
16,9,19
16,19,19
16,29,19
16,39,18
16,49,17
16,59,19
17,9,19
17,19,20
17,29,20
17,39,21
17,49,21
17,59,22
18,9,21
18,19,21
18,29,22
18,39,22
18,49,20
18,59,21
19,9,21
19,19,22
19,29,22
19,39,24
19,49,25
19,59,25
20,9,25
20,19,25
20,29,23
20,39,25
20,49,25
20,59,24
21,9,26
21,19,25
21,29,25
21,39,24
21,49,24
21,59,22
22,9,22
22,19,25
22,29,23
22,39,24
22,49,23
22,59,25
23,9,22
23,19,24
23,29,24
23,39,25
23,49,23
23,59,21
